X_mm,Y_mm,Timestamp
1117,865,1771516310.7616284
1031,848,1771516310.8110414
991,838,1771516310.8630903
994,836,1771516310.9096966
975,834,1771516310.9596384
993,842,1771516311.0125825
960,846,1771516311.063744
918,857,1771516311.1122181
900,868,1771516311.1596
907,879,1771516311.2156556
881,887,1771516311.2593043
828,900,1771516311.3180976
821,919,1771516311.3605819
775,927,1771516311.4178345
830,944,1771516311.4782507
826,963,1771516311.4782507
942,985,1771516311.5313098
833,966,1771516311.577874
920,955,1771516311.628794
713,968,1771516311.6774924
875,969,1771516311.729698
755,990,1771516311.7804267
759,1029,1771516311.8752522
817,1035,1771516311.9296248
788,1062,1771516311.9785635
823,1086,1771516312.0354183
837,1089,1771516312.0974636
839,1106,1771516312.1451712
770,1134,1771516312.193869
910,1145,1771516312.2476223
904,1139,1771516312.3135617
913,1138,1771516312.3626745
